Disease, medicine_1, medicine_2, medicine_3, medicine_4, medicine_5, medicine_6
Fungal infection, Fluconazole, Clotrimazole, Itraconazole, Terbinafine, Nystatin, Ketoconazole
Fungal infection, Clotrimazole, Fluconazole, Nystatin, Itraconazole, Terbinafine, Ketoconazole
Fungal infection, Itraconazole, Terbinafine, Fluconazole, Ketoconazole, Clotrimazole, Nystatin
Fungal infection, Terbinafine, Ketoconazole, Clotrimazole, Fluconazole, Itraconazole, Nystatin
Fungal infection, Nystatin, Itraconazole, Ketoconazole, Terbinafine, Clotrimazole, Fluconazole
Fungal infection, Ketoconazole, Fluconazole, Terbinafine, Clotrimazole, Nystatin, Itraconazole
Fungal infection, Fluconazole, Itraconazole, Nystatin, Clotrimazole, Ketoconazole, Terbinafine
Fungal infection, Clotrimazole, Terbinafine, Nystatin, Itraconazole, Fluconazole, Ketoconazole
Fungal infection, Itraconazole, Nystatin, Ketoconazole, Fluconazole, Clotrimazole, Terbinafine
Fungal infection, Terbinafine, Clotrimazole, Itraconazole, Nystatin, Fluconazole, Ketoconazole
Fungal infection, Nystatin, Fluconazole, Ketoconazole, Terbinafine, Itraconazole, Clotrimazole
Fungal infection, Ketoconazole, Clotrimazole, Nystatin, Itraconazole, Fluconazole, Terbinafine
Fungal infection, Fluconazole, Terbinafine, Clotrimazole, Nystatin, Ketoconazole, Itraconazole
Fungal infection, Clotrimazole, Ketoconazole, Fluconazole, Nystatin, Itraconazole, Terbinafine
Fungal infection, Itraconazole, Fluconazole, Nystatin, Ketoconazole, Terbinafine, Clotrimazole
Fungal infection, Terbinafine, Nystatin, Clotrimazole, Fluconazole, Itraconazole, Ketoconazole
Fungal infection, Nystatin, Ketoconazole, Terbinafine, Clotrimazole, Itraconazole, Fluconazole
Fungal infection, Ketoconazole, Itraconazole, Fluconazole, Clotrimazole, Nystatin, Terbinafine
Fungal infection, Fluconazole, Nystatin, Terbinafine, Itraconazole, Clotrimazole, Ketoconazole
Fungal infection, Clotrimazole, Itraconazole, Ketoconazole, Fluconazole, Nystatin, Terbinafine
